4 4 7 7
2 4 2 37
4 2 8 4
3 2 2 83
2 3 4 84
2 1 5 22
2 3 6 84
2 4 4 3
4 4 5 65
3 1 3 36
4 4 1 2
2 3 7 72
2 4 1 36
2 4 5 17
1 4 4 96
1 3 1 94
4 4 8 82
2 4 7 25
3 5 7 25
3 5 3 99
1 6 1 82
4 1 2 58
1 4 2 16
4 5 5 3
4 2 5 21
4 4 3 43
3 1 7 21
4 5 6 21
3 3 5 25
2 3 2 79
2 3 3 46
2 4 1 33
4 1 6 56
3 4 8 30
2 1 6 16
1 3 1 46
1 3 3 36
4 2 4 5
2 3 8 11
2 1 8 92
4 5 4 20
1 6 2 26
1 6 1 45
3 4 5 22
1 5 7 76
2 1 4 33
1 3 6 84
4 5 8 7
1 6 1 12
3 2 6 29
2 4 2 30
2 2 3 93
3 5 4 62
4 3 7 39
4 5 5 81
4 6 2 58
1 5 4 14
2 1 5 10
1 6 1 3
3 4 6 100
2 1 3 48
1 4 3 56
1 1 4 92
4 5 1 58
3 2 8 22
1 2 8 28
4 6 7 72
2 2 4 17
4 2 6 63
1 4 8 8
1 3 1 1
1 2 1 25
4 6 4 84
4 2 2 59
4 2 7 36
3 6 5 38
3 3 3 56
3 3 4 24
4 6 4 20
1 2 3 81
2 6 6 78
2 2 8 100
1 4 6 8
2 5 2 78
4 6 8 17
3 1 4 13
2 5 6 57
2 2 6 1
4 5 5 17
3 6 7 84
1 6 4 59
2 4 7 12
1 3 4 89
2 5 5 96
2 1 8 88
1 3 6 6
1 4 4 96
2 6 1 64
1 3 1 38
1 5 1 32
3 6 1 97
4 3 8 6
1 1 5 46
2 4 1 29
4 4 7 35
2 3 6 45
1 3 8 87
1 1 2 89
2 2 7 61
3 1 2 14
4 3 7 45
1 2 4 37
2 4 1 62
1 1 8 96
2 6 3 33
2 6 4 23
4 2 2 4
3 2 8 81
1 5 5 50
4 1 5 37
3 6 3 21
2 2 4 84
2 5 7 64
4 6 1 40
1 4 2 81
2 4 6 46
4 2 7 87
3 3 3 58
3 2 8 70
4 1 6 81
1 1 4 29
1 5 6 71
4 4 2 45
1 3 8 43
3 6 7 58
3 2 3 72
1 2 4 25
1 2 8 24
1 5 2 64
2 5 7 20
2 6 4 65
1 5 2 41
3 6 6 27
1 4 5 54
4 6 2 87
3 2 3 34
3 3 2 61
1 1 1 79
1 2 8 69
2 5 7 76
2 5 2 11
4 5 6 7
4 5 2 8
4 5 3 20
2 3 4 73
2 5 7 100
2 5 8 5
3 1 5 56
1 2 1 20
1 6 8 31
1 2 5 96
3 5 1 1
3 6 8 42
2 6 8 42
3 4 1 27
1 1 3 66
4 1 7 67
1 2 5 96
2 2 4 90
3 6 8 97
3 3 6 78
4 6 5 2
2 3 8 37
4 5 6 49
3 3 6 93
4 6 6 64
3 2 4 73
4 3 5 69
3 5 7 18
1 2 4 47
3 5 6 99
3 6 8 73
2 4 3 52
4 6 1 27
4 4 3 23
1 1 5 83
1 1 6 99
4 6 7 89
1 5 6 59
4 2 3 12
2 4 6 38
1 2 8 29
1 2 8 85
4 5 1 84
1 6 3 64
2 6 2 93
3 3 8 98
4 5 3 97
2 1 7 57
4 1 7 31
